Cash Account,Expenditure Account, ,FYTD Appropriated,Prior Yr Enc,FYTD Expendable,FYTD Expended,MTD Expended,Encumbrance,Future Enc,FYTD Unencumbered,% Exp/Enc,Fund,Func,Function One Digit Level,Function Two Digit Level,Object,Object Level,SCC,Subject,Subject Two Digit Level,OPU,Opu One Digit Level,Job,IL
001-0000,001-2700-252-0000-000000-000-00-000,MAINTENANCE LIFE INSURANCE,367.75,0.00,367.75,227.48,29.06,0.00,0,140.27,61.8572399700,001,2700,2000,2700,252,200,0000,000000,000000,000,000,000,00
001-0000,001-2700-253-0000-000000-000-00-000,MAINTENANCE DENTAL INSURANCE,7889.46,0.00,7889.46,5245.65,653.19,0.00,0,2643.81,66.4893414800,001,2700,2000,2700,253,200,0000,000000,000000,000,000,000,00
001-0000,001-2700-254-0000-000000-000-00-000,MAINTENANCE VISION INSURANCE,1038.76,0.00,1038.76,758.79,92.90,0.00,0,279.97,73.0476722200,001,2700,2000,2700,254,200,0000,000000,000000,000,000,000,00
001-0000,001-2700-259-0000-000000-000-00-000,MAINTENANCE MEDICARE,8398.33,0.00,8398.33,5850.37,719.05,0.00,349.56,2547.96,69.6611112000,001,2700,2000,2700,259,200,0000,000000,000000,000,000,000,00
001-0000,001-2700-423-0000-000000-000-00-000,REPAIRS/MAINTENANCE SERVICES,111682.06,17342.00,129024.06,78910.72,2591.80,48795.34,-44.00,1318.00,98.9784851000,001,2700,2000,2700,423,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-424-0000-000000-000-00-000,PROPERTY INSURANCE,63084.00,0.00,63084.00,63084.00,0,0.00,0,0.00,100,001,2700,2000,2700,424,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-425-0000-000000-000-00-000,RENTALS,27547.49,8500.00,36047.49,1562.00,0,6938.00,0,27547.49,23.5800051500,001,2700,2000,2700,425,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-433-0000-000000-000-00-000,MILEAGE,200.00,0.00,200.00,42.00,0,158.00,0,0.00,100,001,2700,2000,2700,433,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-439-0000-000000-000-00-000,TRAVEL/MEETING EXPENSES,100.00,0.00,100.00,0,0,100.00,0,0.00,100,001,2700,2000,2700,439,400,0000,000000,000000,000,000,000,00
001-0000,001-2700-451-0000-000000-000-00-000,ELECTRICITY,186000.00,0.00,186000.00,114423.70,1262.72,71576.30,-17404.14,0.00,100,001,2700,2000,2700,451,400,0000,000000,000000,000,000,000,00
